symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"AXSUSDT.BINANCE, DOGEUSDT.BINANCE, LTCUSDT.BINANCE",544.81%,1238,-32222.7,{'2023-03-10': -32222.7},1
"AXSUSDT.BINANCE, DOGEUSDT.BINANCE, UNIUSDT.BINANCE",446.1%,1225,-12870.51,{'2023-01-14': -12870.51},1
"AXSUSDT.BINANCE, DOGEUSDT.BINANCE, XRPUSDT.BINANCE",778.26%,1273,-197916.42,{'2023-03-29': -197916.42},1
"AXSUSDT.BINANCE, CHZUSDT.BINANCE, DOGEUSDT.BINANCE",518.64%,1285,-28031.2,{'2023-01-14': -28031.2},1
"AXSUSDT.BINANCE, DOGEUSDT.BINANCE, OGNUSDT.BINANCE",524.89%,1387,-88885.42,{'2023-07-24': -88885.42},1
"1000SHIBUSDT.BINANCE, AXSUSDT.BINANCE, DOGEUSDT.BINANCE",872.26%,1295,-24083.01,{'2023-01-14': -24083.01},1
"AXSUSDT.BINANCE, LINKUSDT.BINANCE, LTCUSDT.BINANCE",545.92%,1264,-32236.37,{'2023-03-10': -32236.37},1
"AXSUSDT.BINANCE, LINKUSDT.BINANCE, UNIUSDT.BINANCE",447.22%,1251,-11977.19,{'2023-01-14': -11977.19},1
"AXSUSDT.BINANCE, LINKUSDT.BINANCE, XRPUSDT.BINANCE",779.37%,1299,-197909.05,{'2023-03-29': -197909.05},1
"AXSUSDT.BINANCE, CHZUSDT.BINANCE, LINKUSDT.BINANCE",519.76%,1311,-26860.12,{'2023-01-14': -26860.12},1
"AXSUSDT.BINANCE, LINKUSDT.BINANCE, OGNUSDT.BINANCE",526.01%,1413,-88939.69,{'2023-07-24': -88939.69},1
"1000SHIBUSDT.BINANCE, AXSUSDT.BINANCE, LINKUSDT.BINANCE",873.38%,1321,-22672.48,{'2023-01-14': -22672.48},1
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, UNIUSDT.BINANCE",399.3%,1119,-13425.59,{'2023-01-14': -13425.59},1
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, XRPUSDT.BINANCE",731.46%,1167,-197686.29,{'2023-03-29': -197686.29},1
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, CHZUSDT.BINANCE",471.84%,1179,-28321.73,{'2023-01-14': -28321.73},1
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, OGNUSDT.BINANCE",478.09%,1281,-88965.65,{'2023-07-24': -88965.65},1
"1000SHIBUSDT.BINANCE, AXSUSDT.BINANCE, BNBUSDT.BINANCE",825.46%,1189,-24088.32,{'2023-01-14': -24088.32},1
"AXSUSDT.BINANCE, CHZUSDT.BINANCE, UNIUSDT.BINANCE",528.94%,1260,-33917.26,{'2023-01-14': -33917.26},1
"1000SHIBUSDT.BINANCE, AXSUSDT.BINANCE, UNIUSDT.BINANCE",882.56%,1270,-29419.1,{'2023-01-14': -29419.1},1
"1000SHIBUSDT.BINANCE, AXSUSDT.BINANCE, CHZUSDT.BINANCE",955.1%,1330,-44686.34,{'2023-01-14': -44686.34},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, EOSUSDT.BINANCE",238.7%,1086,-12034.44,{'2023-05-13': -12034.44},1
