params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",1017.21%,625,-59050.48,"{'2023-01-05': -11006.72, '2023-01-14': -59050.48}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",472.07%,606,-20222.71,"{'2023-01-14': -20222.71, '2023-03-15': -12746.47}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",898.03%,619,-58095.34,{'2023-01-14': -58095.34},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",373.96%,597,-12591.81,{'2023-01-14': -12591.81},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",864.87%,618,-58770.76,{'2023-01-14': -58770.76},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",348.29%,599,-12785.04,{'2023-01-14': -12785.04},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",295.65%,616,-25182.97,{'2023-01-14': -25182.97},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",274.42%,598,-8888.38,{},0
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",2690.99%,576,-334310.43,"{'2023-01-14': -177035.24, '2023-01-23': -334310.43}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",557.29%,567,-64161.88,"{'2023-01-14': -64161.88, '2023-01-23': -43795.15}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",778.95%,563,-43903.49,"{'2023-01-14': -36035.2, '2023-01-23': -43903.49}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",524.06%,547,-16436.17,"{'2023-01-14': -10027.33, '2023-01-23': -16436.17}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",455.63%,560,-43937.25,"{'2023-01-14': -15503.52, '2023-01-23': -43937.25}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",515.47%,535,-15629.31,{'2023-01-23': -15629.31},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",495.97%,555,-43966.18,"{'2023-01-10': -12635.35, '2023-01-14': -15274.56, '2023-01-23': -43966.18}",3
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",384.5%,537,-13559.73,"{'2023-01-23': -13559.73, '2023-03-15': -10607.44}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",499.37%,549,-43966.18,"{'2023-01-10': -12822.59, '2023-01-14': -15396.23, '2023-01-23': -43966.18}",3
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",415.13%,531,-14287.64,{'2023-01-23': -14287.64},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",4157.15%,521,-1652781.34,"{'2023-01-10': -12252.57, '2023-01-14': -138605.42, '2023-01-23': -1652781.34}",3
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",713.61%,515,-47931.38,"{'2023-01-14': -47931.38, '2023-01-23': -13671.27}",2
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",252.64%,531,-13007.6,{'2023-01-14': -13007.6},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",242.83%,510,-7817.21,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",235.13%,527,-14616.05,{'2023-01-14': -14616.05},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",237.76%,505,-6564.71,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",190.79%,511,-9952.04,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",213.94%,499,-10241.24,{'2023-03-15': -10241.24},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",278.45%,499,-74604.06,"{'2023-01-10': -11408.71, '2023-01-23': -74604.06}",2
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",203.57%,485,-6253.7,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",350.63%,476,-76845.3,"{'2023-01-10': -10897.63, '2023-01-14': -43625.82, '2023-01-23': -76845.3}",3
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",260.94%,472,-23707.6,"{'2023-01-14': -23707.6, '2023-01-23': -18555.03}",2
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",241.41%,518,-14635.92,{'2023-01-14': -14635.92},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",215.64%,490,-7816.12,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",200.28%,510,-14549.49,{'2023-01-14': -14549.49},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",203.99%,485,-6563.68,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",161.69%,486,-9018.91,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",191.91%,475,-10222.79,{'2023-03-15': -10222.79},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",187.35%,468,-37475.3,{'2023-01-23': -37475.3},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",171.75%,467,-6252.35,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",238.68%,451,-40142.42,"{'2023-01-14': -40142.42, '2023-01-23': -39543.5}",2
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",161.32%,449,-21232.66,"{'2023-01-14': -21232.66, '2023-01-23': -12745.93}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.01",530.52%,601,-74514.56,{'2023-07-14': -74514.56},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.02",476.93%,574,-17370.9,"{'2023-03-14': -11904.68, '2023-07-14': -17370.9}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.04, trending_open_loss_rate_0.01",563.17%,589,-22598.7,"{'2023-02-08': -11501.09, '2023-07-02': -22598.7, '2023-07-14': -17987.33}",3
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.04, trending_open_loss_rate_0.02",459.94%,564,-14462.84,"{'2023-07-02': -11175.07, '2023-07-14': -14462.84}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.05, trending_open_loss_rate_0.01",529.65%,587,-20230.37,"{'2023-02-08': -11985.6, '2023-07-02': -20230.37, '2023-07-14': -18217.23}",3
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.05, trending_open_loss_rate_0.02",346.29%,564,-11536.11,"{'2023-07-02': -11536.11, '2023-07-14': -10335.89}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.06, trending_open_loss_rate_0.01",490.93%,578,-20109.8,"{'2023-07-02': -20109.8, '2023-07-14': -15361.52}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.06, trending_open_loss_rate_0.02",391.81%,562,-11485.77,"{'2023-07-02': -11485.77, '2023-07-14': -10359.33}",2
