params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",632.6%,580,-19809.97,{'2023-06-25': -19809.97},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",2399.33%,580,-49555.65,{'2023-06-26': -49555.65},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",533.98%,556,-15061.18,{'2023-06-25': -15061.18},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",895.32%,561,-44739.06,"{'2023-06-25': -44739.06, '2023-07-14': -27329.01}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",556.74%,555,-14792.02,{'2023-06-25': -14792.02},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",3303.27%,566,-709209.63,{'2023-06-25': -709209.63},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",772.62%,554,-221839.32,{'2023-06-25': -221839.32},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",3220.68%,552,-709209.63,{'2023-06-25': -709209.63},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",742.24%,542,-221839.32,{'2023-06-25': -221839.32},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",1450.58%,555,-26431.21,{'2023-06-26': -26431.21},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",375.07%,530,-8433.26,{},0
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",1422.37%,544,-26463.34,{'2023-06-26': -26463.34},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",356.69%,527,-8223.15,{},0
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",481.99%,530,-23466.49,"{'2023-06-25': -23466.49, '2023-07-14': -15410.66}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",347.24%,519,-8371.11,{},0
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",2548.82%,525,-545032.6,{'2023-06-25': -545032.6},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",3831.22%,511,-170598.82,{'2023-06-25': -170598.82},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",2478.43%,501,-545032.6,{'2023-06-25': -545032.6},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",586.72%,496,-170598.82,{'2023-06-25': -170598.82},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",1286.18%,526,-24621.34,"{'2023-06-26': -24621.34, '2023-08-18': -10998.58}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",306.39%,502,-10261.4,{'2023-08-18': -10261.4},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",1261.35%,514,-24635.62,"{'2023-06-26': -24635.62, '2023-08-18': -10886.01}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",299.83%,499,-7214.46,{},0
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",400.64%,498,-21932.04,"{'2023-06-25': -21932.04, '2023-07-14': -13453.88}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",294.01%,486,-7374.36,{},0
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",2100.25%,477,-465064.27,{'2023-06-25': -465064.27},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",492.76%,470,-145443.36,{'2023-06-25': -145443.36},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",2072.19%,458,-465064.27,{'2023-06-25': -465064.27},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",489.12%,455,-145443.36,{'2023-06-25': -145443.36},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",762.51%,533,-12770.37,{'2023-06-26': -12770.37},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",220.54%,495,-5939.17,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",772.31%,510,-12782.5,{'2023-06-26': -12782.5},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",209.86%,500,-4202.73,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",294.02%,505,-14770.04,"{'2023-06-25': -11593.5, '2023-07-14': -14770.04}",2
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",202.69%,498,-4482.11,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",1797.77%,492,-405102.96,{'2023-06-25': -405102.96},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",422.71%,482,-126758.69,{'2023-06-25': -126758.69},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",1786.41%,481,-405102.96,{'2023-06-25': -405102.96},1
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",403.01%,477,-126758.69,{'2023-06-25': -126758.69},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",581.81%,505,-10823.19,{'2023-06-25': -10823.19},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",163.51%,468,-8469.6,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",274.18%,489,-17729.18,"{'2023-06-25': -10384.62, '2023-07-14': -17729.18}",2
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",160.71%,477,-5255.85,{},0
