symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"LINKUSDT.BINANCE, MATICUSDT.BINANCE",1870.08%,-105256.46,{'2023-01-14': -105256.46},1

"BNBUSDT.BINANCE, MATICUSDT.BINANCE",5832.21%,-600577.59,"{'2023-01-14': -147193.0, '2023-06-11': -600577.59, '2023-06-12': -382325.57}",3

"MATICUSDT.BINANCE, XLMUSDT.BINANCE",4785.61%,-558287.7,"{'2023-01-14': -41260.5, '2023-06-11': -558287.7, '2023-06-28': -399473.19}",3

"BTCUSDT.BINANCE, MATICUSDT.BINANCE",6044.09%,-604096.18,"{'2023-01-14': -147277.84, '2023-06-11': -604096.18, '2023-06-24': -402229.24}",3

"MATICUSDT.BINANCE, XRPUSDT.BINANCE",6286.93%,-613420.8,"{'2023-01-14': -147156.58, '2023-06-11': -613420.8, '2023-06-22': -404828.87}",3

"COMPUSDT.BINANCE, MATICUSDT.BINANCE",1513.03%,-71562.04,"{'2023-01-14': -71562.04, '2023-02-17': -63132.75, '2023-06-12': -51017.75, '2023-07-03': -10997.55}",4

"MATICUSDT.BINANCE, OPUSDT.BINANCE",8055.51%,-640959.75,"{'2023-01-14': -253279.92, '2023-06-11': -640959.75, '2023-06-22': -453253.36}",3

"APEUSDT.BINANCE, MATICUSDT.BINANCE",1764.18%,-396331.51,"{'2023-01-10': -12946.69, '2023-01-14': -71713.16, '2023-06-10': -396331.51}",3

